"Sample_ID","JD","TSSR"
"bam-mn_m:MNBBA:T102R45a:3:11:2011-5-29T5:45:00Z",148,-4.83291960252656
"bam-mn_m:MNBBA:T102R46a:1:11:2011-5-28T5:50:00Z",147,-4.76048287901613
"bam-mn_m:MNBBA:T102R46a:2:11:2011-5-28T5:34:00Z",147,-5.0271495456828
"bam-mn_m:MNBBA:T102R46a:3:11:2011-5-28T6:5:00Z",147,-4.51048287901613
"bam-mn_m:MNBBA:T102R4c:1:09:2009-5-31T6:5:00Z",150,-4.4410913079977
"bam-mn_m:MNBBA:T102R4c:1:10:2010-6-2T9:0:00Z",152,-1.50812645660506
"bam-mn_m:MNBBA:T102R4c:2:09:2009-5-31T6:17:00Z",150,-4.2410913079977
"bam-mn_m:MNBBA:T102R4c:2:10:2010-6-2T9:14:00Z",152,-1.27479312327173
"bam-mn_m:MNBBA:T102R4c:3:09:2009-5-31T6:32:00Z",150,-3.9910913079977
"bam-mn_m:MNBBA:T102R4c:3:10:2010-6-2T9:28:00Z",152,-1.0414597899384
"bam-mn_m:MNBBA:T102R5a:1:09:2009-5-31T5:8:00Z",150,-5.3910913079977
"bam-mn_m:MNBBA:T102R5a:2:09:2009-5-31T5:22:00Z",150,-5.15775797466437
"bam-mn_m:MNBBA:T102R5a:3:09:2009-5-31T5:36:00Z",150,-4.92442464133104
"bam-mn_m:MNBBA:T102R6a:1:09:2009-5-30T7:2:00Z",149,-3.50129473970996
"bam-mn_m:MNBBA:T102R6a:2:09:2009-5-30T7:14:00Z",149,-3.30129473970996
"bam-mn_m:MNBBA:T102R6a:3:09:2009-5-30T7:29:00Z",149,-3.05129473970996
"bam-mn_m:MNBBA:T102R7a:1:09:2009-5-31T7:55:00Z",150,-2.60775797466437
"bam-mn_m:MNBBA:T102R7a:2:09:2009-5-31T8:32:00Z",150,-1.9910913079977
"bam-mn_m:MNBBA:T102R7a:3:09:2009-5-31T8:20:00Z",150,-2.1910913079977
"bam-mn_m:MNBBA:T102R8a:1:09:2009-6-1T7:30:00Z",151,-3.01485220253468
"bam-mn_m:MNBBA:T102R8a:2:09:2009-6-1T7:43:00Z",151,-2.79818553586801
"bam-mn_m:MNBBA:T102R8a:3:09:2009-6-1T7:14:00Z",151,-3.28151886920134
"bam-mn_m:MNBBA:T102R9a:1:09:2009-6-16T6:29:00Z",166,-3.96601398520999
"bam-mn_m:MNBBA:T102R9a:2:09:2009-6-16T6:9:00Z",166,-4.29934731854333
"bam-mn_m:MNBBA:T102R9a:3:09:2009-6-16T6:53:00Z",166,-3.56601398520999
"bam-mn_m:MNBBA:T103R10a:1:09:2009-6-16T6:37:00Z",166,-3.83268065187666
"bam-mn_m:MNBBA:T103R10a:2:09:2009-6-16T5:55:00Z",166,-4.53268065187666
"bam-mn_m:MNBBA:T103R10a:3:09:2009-6-16T6:19:00Z",166,-4.13268065187666
"bam-mn_m:MNBBA:T103R11a:1:11:2011-6-1T5:30:00Z",151,-5.01962870346175
"bam-mn_m:MNBBA:T103R11a:2:11:2011-6-1T5:15:00Z",151,-5.26962870346175
"bam-mn_m:MNBBA:T103R11a:3:11:2011-6-1T5:45:00Z",151,-4.76962870346175
"bam-mn_m:MNBBA:T103R12a:1:11:2011-6-1T6:10:00Z",151,-4.35296203679509
"bam-mn_m:MNBBA:T103R12a:2:11:2011-6-1T6:22:00Z",151,-4.15296203679509
"bam-mn_m:MNBBA:T103R12a:3:11:2011-6-1T6:40:00Z",151,-3.85296203679509
"bam-mn_m:MNBBA:T103R13a:1:11:2011-6-1T7:25:00Z",151,-3.13711480432087
"bam-mn_m:MNBBA:T103R13a:2:11:2011-6-1T7:43:00Z",151,-2.83711480432087
