"Sample_ID","JD","TSSR"
"grass_m:12UXV34:13:2017-6-9T7:15:00Z:49.109142:-109.122742",159,-3.95353529281086
"grass_m:12UXV34:15:2017-6-9T6:9:00Z:49.175102:-109.122711",159,-5.04831548975574
"grass_m:12UXV34:16:2017-6-9T8:34:00Z:49.116058:-109.133301",159,-2.63702617559168
"grass_m:12UXV34:17:2017-6-9T6:52:00Z:49.135532:-109.122749",159,-4.33478371805615
"grass_m:12UXV34:18:2017-6-9T8:4:00Z:49.107445:-109.09446",159,-3.13511757214864
"grass_m:12UXV34:22:2017-6-9T6:0:00Z:49.184376:-109.122322",159,-5.19755447751946
"grass_m:12UXV34:23:2017-6-9T6:40:00Z:49.144447:-109.122765",159,-4.53407964792517
"grass_m:12UXV34:24:2017-6-9T7:52:00Z:49.113167:-109.100472",159,-3.33506641275353
"grass_m:12UXV34:28:2017-6-9T7:32:00Z:49.100441:-109.122726",159,-3.6708878181378
"grass_m:12UXV35:01:2017-6-11T5:41:00Z:49.214302:-109.149879",161,-5.50460879597399
"grass_m:12UXV35:02:2017-6-11T5:11:00Z:49.2034:-109.0933",161,-6.0017111840513
"grass_m:12UXV35:03:2017-6-11T5:50:00Z:49.218628:-109.162498",161,-5.35510308616691
"grass_m:12UXV35:05:2017-6-11T7:7:00Z:49.24675:-109.174912",161,-4.07034053193198
"grass_m:12UXV35:06:2017-6-9T5:46:00Z:49.189983:-109.122314",159,-5.43044267416
"grass_m:12UXV35:07:2017-6-11T6:14:00Z:49.224236:-109.192917",161,-4.95668095019129
"grass_m:12UXV35:08:2017-6-11T5:2:00Z:49.203407:-109.085182",161,-6.15116950809956
"grass_m:12UXV35:12:2017-6-11T6:55:00Z:49.23814:-109.17804",161,-4.27124031596714
"grass_m:12UXV35:13:2017-6-11T6:24:00Z:49.222546:-109.201538",161,-4.79072447538376
"grass_m:12UXV35:14:2017-6-11T5:31:00Z:49.208931:-109.134544",161,-5.67068380673726
"grass_m:12UXV35:15:2017-6-9T5:7:00Z:49.203426:-109.112823",159,-6.07874358521567
"grass_m:12UXV35:16:2017-6-11T6:38:00Z:49.23299:-109.186386",161,-4.55554329468144
"grass_m:12UXV35:17:2017-6-11T5:22:00Z:49.205616:-109.126755",161,-5.82043027632766
"grass_m:12UXV35:24:2017-6-9T5:15:00Z:49.203445:-109.119926",159,-5.94588217278322
"grass_m:12UXV35:25:2017-6-11T6:3:00Z:49.226139:-109.184135",161,-5.13927626132965
