"Sample_ID","lat.y","lon.y","Shape..","NEAR_FID","NEAR_DIST","TNMFRC","definition","staticOID","Needleleaf_3x3","Needleleaf_5x5","Broadleaf_3x3","Broadleaf_5x5","MixedForest_3x3","MixedForest_5x5","ForestOnly_3x3","ForestOnly_5x5","ForestWetland_3x3","ForestWetland_5x5","Wetland_3x3","Wetland_5x5"
"mnbba:T147R48a:2012-06-19T14:40:0Z:47.5570159988798:-96.7721560000274",47.557016,-96.772156,"Point",121183,0.863915,"4","Local Road",3069,0,0,0,0,0,0,0,0,2,8,2,8
"mnbba:T141R48a:2012-06-15T11:50:0Z:47.0277177692635:-96.7319188180539",47.027718,-96.731919,"Point",29541,13.375813,"4","Local Road",128,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T149R48a:2009-06-16T13:14:0Z:47.7459458600833:-96.7795109618522",47.745946,-96.779511,"Point",122824,9.25684,"4","Local Road",1722,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T159R48a:2011-06-18T14:13:0Z:48.6292734582788:-96.8449911199648",48.629273,-96.844991,"Point",61351,1.631089,"4","Local Road",915,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T143R48a:2012-06-17T10:30:0Z:47.1946209989691:-96.7399960000051",47.194621,-96.739996,"Point",88942,3.155826,"4","Local Road",1256,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T146R48a:2012-06-19T14:13:0Z:47.4695649989967:-96.7593859999739",47.469565,-96.759386,"Point",87164,3.731642,"4","Local Road",6670,0,0,0,2,0,0,0,2,0,2,0,0
"mnbba:T136R48a:2012-06-10T14:35:0Z:46.6004006705683:-96.6978219791407",46.600401,-96.697822,"Point",168032,0.231025,"4","Local Road",2809,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T135R48a:2012-06-10T13:24:0Z:46.5143659989483:-96.6909970000071",46.514366,-96.690997,"Point",167826,3.29272,"4","Local Road",5358,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T136R48a:2012-06-10T14:49:0Z:46.6202259985:-96.6979769999784",46.620226,-96.697977,"Point",166641,0.446586,"4","Local Road",4112,0,0,3,10,0,0,3,10,3,10,0,0
"mnbba:T144R48a:2012-06-18T11:51:0Z:47.3101273362327:-96.7448266959773",47.310127,-96.744827,"Point",87439,4.318364,"4","Local Road",889,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T163R48a:2009-07-09T10:30:0Z:48.9433587853794:-96.8644613652633",48.943359,-96.864461,"Point",63385,1.537225,"4","Local Road",1386,0,0,0,0,0,0,0,0,1,10,1,10
"mnbba:T163R48a:2009-07-09T10:44:0Z:48.9475923013716:-96.864346176205",48.947592,-96.864346,"Point",63385,4.322514,"4","Local Road",6773,0,0,0,0,0,0,0,0,0,0,0,0
