Sample_ID,roaddist,Coniferous_3x3,Deciduous_3x3,ForestOnly_3x3,ForestWetland_3x3,MixedForest_3x3,Wetland_3x3,Coniferous_5x5,Deciduous_5x5,ForestOnly_5x5,ForestWetland_5x5,MixedForest_5x5,Wetland_5x5
bam-mn_m:MNBBA:T102R28a:1:10:2010-5-28T5:20:00Z,544752.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R28a:2:10:2010-5-28T5:35:00Z,544779.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R28a:3:10:2010-5-28T6:0:00Z,544648.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R29a:1:11:2011-5-27T5:30:00Z,542071.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R29a:2:11:2011-5-27T5:45:00Z,542043.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R29a:3:11:2011-5-27T5:15:00Z,541531.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R30a:1:11:2011-5-27T6:24:00Z,543836.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R30a:2:11:2011-5-27T6:40:00Z,545004.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R30a:3:11:2011-5-27T6:10:00Z,543488.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R31a:1:11:2011-5-29T6:30:00Z,544921.375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R31a:2:11:2011-5-29T6:45:00Z,544053.8125,0,0,0,0,0,0,0,0,0,0,0,0
